Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""fuzai1/Page_VisionStack/li_590""))",Chrome 72.0.3626.81,,2019-02-21 10:58:37,2019-02-21 10:58:38,0.082s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input___1""))",Chrome 72.0.3626.81,,2019-02-21 10:58:38,2019-02-21 10:58:38,0.093s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:58:38,2019-02-21 10:58:41,3.029s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li__1""))",Chrome 72.0.3626.81,,2019-02-21 10:58:41,2019-02-21 10:58:41,0.085s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button__1""))",Chrome 72.0.3626.81,,2019-02-21 10:58:41,2019-02-21 10:58:41,0.071s,PASSED
"verifyElementPresent(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), 0)",Chrome 72.0.3626.81,,2019-02-21 10:58:41,2019-02-21 10:58:41,0.021s,PASSED
waitForAlert(5),Chrome 72.0.3626.81,,2019-02-21 10:58:41,2019-02-21 10:58:46,5.047s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-02-21 10:58:46,2019-02-21 10:58:47,0.753s,PASSED
,,,,,,
Test Cases/zhuji1,Chrome 72.0.3626.81,,2019-02-21 10:58:47,2019-02-21 10:59:10,23.186s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-21 10:58:47,2019-02-21 10:58:49,2.234s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-21 10:58:49,2019-02-21 10:58:51,1.605s,PASSED
"setText(findTestObject(""Object Repository/zhuji1/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-21 10:58:51,2019-02-21 10:58:51,0.122s,PASSED
"setEncryptedText(findTestObject(""Object Repository/zhuji1/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-21 10:58:51,2019-02-21 10:58:51,0.103s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-21 10:58:51,2019-02-21 10:58:51,0.055s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/div_""))",Chrome 72.0.3626.81,,2019-02-21 10:58:51,2019-02-21 10:58:53,2.104s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/div__1""))",Chrome 72.0.3626.81,,2019-02-21 10:58:53,2019-02-21 10:58:53,0.113s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/li_""))",Chrome 72.0.3626.81,,2019-02-21 10:58:53,2019-02-21 10:58:53,0.147s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/button__1""))",Chrome 72.0.3626.81,,2019-02-21 10:58:53,2019-02-21 10:58:54,0.698s,PASSED
"setText(findTestObject(""Object Repository/zhuji1/Page_VisionStack/input__el-input__inner""), ""789"")",Chrome 72.0.3626.81,,2019-02-21 10:58:54,2019-02-21 10:58:54,0.141s,PASSED
"setText(findTestObject(""Object Repository/zhuji1/Page_VisionStack/input__el-input__inner_1""), mima)",Chrome 72.0.3626.81,,2019-02-21 10:58:54,2019-02-21 10:58:54,0.199s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:58:54,2019-02-21 10:58:57,3.032s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/i__el-select__caret el-input__""))",Chrome 72.0.3626.81,,2019-02-21 10:58:57,2019-02-21 10:58:57,0.094s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:58:57,2019-02-21 10:59:00,3.025s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/li_560""))",Chrome 72.0.3626.81,,2019-02-21 10:59:00,2019-02-21 10:59:00,0.075s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:59:00,2019-02-21 10:59:04,3.029s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/i__el-select__caret el-input___1""))",Chrome 72.0.3626.81,,2019-02-21 10:59:04,2019-02-21 10:59:04,0.089s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:59:04,2019-02-21 10:59:07,3.027s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/li__1""))",Chrome 72.0.3626.81,,2019-02-21 10:59:07,2019-02-21 10:59:07,0.090s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:59:07,2019-02-21 10:59:10,3.027s,PASSED
"click(findTestObject(""Object Repository/zhuji1/Page_VisionStack/button__2""))",Chrome 72.0.3626.81,,2019-02-21 10:59:10,2019-02-21 10:59:10,0.064s,PASSED
