Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""fuzai1/Page_VisionStack/li_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:57,2019-02-20 15:08:57,0.206s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:57,2019-02-20 15:08:58,0.605s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), test)",Chrome 72.0.3626.81,,2019-02-20 15:08:58,2019-02-20 15:08:58,0.172s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input__""))",Chrome 72.0.3626.81,,2019-02-20 15:08:58,2019-02-20 15:08:58,0.098s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-20 15:08:58,2019-02-20 15:09:01,3.027s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li_590""))",Chrome 72.0.3626.81,,2019-02-20 15:09:01,2019-02-20 15:09:01,0.076s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input___1""))",Chrome 72.0.3626.81,,2019-02-20 15:09:01,2019-02-20 15:09:02,0.091s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-20 15:09:02,2019-02-20 15:09:05,3.027s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li__1""))",Chrome 72.0.3626.81,,2019-02-20 15:09:05,2019-02-20 15:09:05,0.089s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button__1""))",Chrome 72.0.3626.81,,2019-02-20 15:09:05,2019-02-20 15:09:05,0.070s,PASSED
"verifyElementPresent(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), 0)",Chrome 72.0.3626.81,,2019-02-20 15:09:05,2019-02-20 15:09:05,0.017s,PASSED
waitForAlert(5),Chrome 72.0.3626.81,,2019-02-20 15:09:05,2019-02-20 15:09:10,5.048s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-02-20 15:09:10,2019-02-20 15:09:10,0.644s,PASSED
